X,Y
-77.08696182,34.70527137
-77.08809906,34.7035199
-77.0919025,34.70112246
-77.09570594,34.69872502
-77.09950938,34.69632758
-77.1026885,34.69358716
-77.10267197,34.68909121
-77.10265545,34.68459526
-77.10002538,34.68150421
-77.09628449,34.6790103
-77.09266758,34.67636956
-77.08958223,34.67309931
-77.08649689,34.66982906
-77.08341154,34.66655881
-77.0846196,34.66346481
-77.08796261,34.66045846
-77.09130561,34.6574521
-77.09464862,34.65444574
-77.09799163,34.65143938
-77.09768498,34.65025273
-77.09327215,34.6511134
-77.08885931,34.65197407
-77.08444647,34.65283474
-77.08003364,34.65369541
-77.0756208,34.65455608
-77.07120796,34.65541676
-77.06679513,34.65627743
-77.06238229,34.6571381
-77.05796946,34.65799877
-77.05355662,34.65885944
-77.04914378,34.65972011
-77.04473095,34.66058078
-77.04031811,34.66144145
-77.03590527,34.66230213
-77.03149244,34.6631628
-77.0270796,34.66402347
-77.02266676,34.66488414
-77.01825393,34.66574481
-77.01384109,34.66660548
-77.00942825,34.66746615
-77.00501542,34.66832682
-77.00060258,34.6691875
-76.99618974,34.67004817
-76.99177691,34.67090884
-76.98736407,34.67176951
-76.98295123,34.67263018
-76.9785384,34.67349085
-76.97412556,34.67435152
-76.96971272,34.67521219
-76.96529989,34.67607287
-76.96088705,34.67693354
-76.95647422,34.67779421
-76.95206138,34.67865488
-76.94764854,34.67951555
-76.94323571,34.68037622
-76.93882287,34.68123689
-76.93441003,34.68209757
-76.9299972,34.68295824
-76.92558436,34.68381891
-76.92117152,34.68467958
-76.91675869,34.68554025
-76.91234585,34.68640092
-76.90793301,34.68726159
-76.90352018,34.68812226
-76.89910734,34.68898294
-76.8946945,34.68984361
-76.89028167,34.69070428
-76.88586883,34.69156495
-76.88145599,34.69242562
-76.87704316,34.69328629
-76.87263032,34.69414696
-76.86821749,34.69500763
-76.86380465,34.69586831
-76.85939181,34.69672898
-76.85497898,34.69758965
-76.85056614,34.69845032
-76.8461533,34.69931099
-76.84174047,34.70017166
-76.83732763,34.70103233
-76.83291479,34.70189301
-76.82850196,34.70275368
-76.82403749,34.70324544
-76.81955793,34.7036294
-76.81507837,34.70401337
-76.81059881,34.70439733
-76.80611925,34.70478129
-76.80163923,34.70513236
-76.79715064,34.70487448
-76.79266206,34.7046166
-76.78817348,34.70435873
-76.78368489,34.70410085
-76.77919631,34.70384297
-76.77470773,34.70358509
-76.77021914,34.70332722
-76.76573056,34.70306934
-76.76124198,34.70281146
-76.75675339,34.70255358
-76.75226481,34.7022957
-76.74777623,34.70203783
-76.74328764,34.70177995
-76.73879906,34.70152207
-76.73431048,34.70126419
-76.72982189,34.70100632
-76.72533331,34.70074844
